seconds_before_off,country_code,race_class_band,field_size,all_run,short_fav,prob_band,dist_to_eff
120,IE,low,mid,TRUE,FALSE,prob_mid,0.06394454983718877
120,IE,low,mid,TRUE,FALSE,prob_low,0.09578423333446101
120,IE,low,mid,TRUE,FALSE,prob_vlow,0.1707137533834561
120,IE,low,mid,TRUE,TRUE,prob_high,0.040214742218139206
120,IE,low,mid,TRUE,TRUE,prob_mid,0.07178511258141403
120,IE,low,mid,TRUE,TRUE,prob_low,0.10351928605460646
120,IE,low,mid,TRUE,TRUE,prob_vlow,0.2132103384835993
120,IE,low,large,FALSE,FALSE,prob_mid,0.06067326398357614
120,IE,low,large,FALSE,FALSE,prob_low,0.09581583751006553
120,IE,low,large,FALSE,FALSE,prob_vlow,0.15642645961822868
120,IE,low,large,FALSE,TRUE,prob_high,0.04739972939071168
120,IE,low,large,FALSE,TRUE,prob_mid,0.08060906465973824
120,IE,low,large,FALSE,TRUE,prob_low,0.11356024689340148
120,IE,low,large,FALSE,TRUE,prob_vlow,0.2444401601393407
120,IE,low,large,TRUE,FALSE,prob_mid,0.06956279668554206
120,IE,low,large,TRUE,FALSE,prob_low,0.09395299783531218
120,IE,low,large,TRUE,FALSE,prob_vlow,0.17309426638987815
120,IE,low,large,TRUE,TRUE,prob_high,0.04522992698753293
120,IE,low,large,TRUE,TRUE,prob_mid,0.06456834870504484
120,IE,low,large,TRUE,TRUE,prob_low,0.10936171040589723
120,IE,low,large,TRUE,TRUE,prob_vlow,0.2412812434254014
180,GB,high,small,FALSE,FALSE,prob_mid,0.06983020177146686
180,GB,high,small,FALSE,FALSE,prob_low,0.10184122523287471
180,GB,high,small,FALSE,FALSE,prob_vlow,0.14520573567825854
180,GB,high,small,FALSE,TRUE,prob_high,0.04739750833727781
180,GB,high,small,FALSE,TRUE,prob_mid,0.07548669546256677
180,GB,high,small,FALSE,TRUE,prob_low,0.09955259835915471
180,GB,high,small,FALSE,TRUE,prob_vlow,0.15120934866700356
180,GB,high,small,TRUE,FALSE,prob_mid,0.07129699292924163
180,GB,high,small,TRUE,FALSE,prob_low,0.09922383660312865
180,GB,high,small,TRUE,FALSE,prob_vlow,0.15800232391431318
180,GB,high,small,TRUE,TRUE,prob_high,0.045064527423219536
180,GB,high,small,TRUE,TRUE,prob_mid,0.09327620498809928
180,GB,high,small,TRUE,TRUE,prob_low,0.10435351584588397
180,GB,high,small,TRUE,TRUE,prob_vlow,0.16492123603548814
180,GB,high,mid,FALSE,FALSE,prob_mid,0.07399611099301205
180,GB,high,mid,FALSE,FALSE,prob_low,0.09119147173945025
180,GB,high,mid,FALSE,FALSE,prob_vlow,0.1424673716817236
180,GB,high,mid,FALSE,TRUE,prob_high,0.0663090645696088
180,GB,high,mid,FALSE,TRUE,prob_mid,0.08689951834856714
180,GB,high,mid,FALSE,TRUE,prob_low,0.08560098198475645
180,GB,high,mid,FALSE,TRUE,prob_vlow,0.17321959489265254
180,GB,high,mid,TRUE,FALSE,prob_mid,0.06947715050375257
180,GB,high,mid,TRUE,FALSE,prob_low,0.09156413984426984
180,GB,high,mid,TRUE,FALSE,prob_vlow,0.14919837624912705
180,GB,high,mid,TRUE,TRUE,prob_high,0.041430024387554096
180,GB,high,mid,TRUE,TRUE,prob_mid,0.06135972187607636
180,GB,high,mid,TRUE,TRUE,prob_low,0.1007321424997178
180,GB,high,mid,TRUE,TRUE,prob_vlow,0.16595606639138774
180,GB,high,large,FALSE,FALSE,prob_mid,0.07167193016255424
180,GB,high,large,FALSE,FALSE,prob_low,0.08724447150823494
180,GB,high,large,FALSE,FALSE,prob_vlow,0.13107899848071075
180,GB,high,large,FALSE,TRUE,prob_high,0.036708855069021086
180,GB,high,large,FALSE,TRUE,prob_low,0.08580176462678406
180,GB,high,large,FALSE,TRUE,prob_vlow,0.18542801501792622
180,GB,high,large,TRUE,FALSE,prob_mid,0.06582428198829791
